,date,age_group,cum_case,cum_admission,cum_death,cumFirstDose,newFirstDose,cumSecondDose,newSecondDose,cumThirdInjection,newThirdInjection,newSpring22,cumSpring22,new_case,new_death,new_admission,current_case,current_admission,,population_size
324,2020/4/20,00_17,1744,577,15,,,,,,,,,47,1,15,1042,534,,10117000
325,2020/4/20,18_64,61238,20942,2521,,,,,,,,,2257,82,480,35921,17423,,36139000
326,2020/4/20,65_84,30654,26131,10645,,,,,,,,,749,348,629,2333,14241,,9316000
327,2020/4/20,85+,16036,12351,6809,,,,,,,,,645,254,394,2539,4953,,1457000
328,2020/4/21,00_17,1813,589,15,,,,,,,,,69,0,12,1094,545,,10117000
329,2020/4/21,18_64,63770,21392,2603,,,,,,,,,2532,82,450,37823,17770,,36139000
330,2020/4/21,65_84,31438,26772,10950,,,,,,,,,784,305,641,2420,14547,,9316000
331,2020/4/21,85+,16643,12731,7073,,,,,,,,,607,264,380,2723,5051,,1457000
332,2020/4/22,00_17,1904,603,15,,,,,,,,,91,0,14,1165,559,,10117000
333,2020/4/22,18_64,67141,21761,2687,,,,,,,,,3371,84,369,40584,18037,,36139000
334,2020/4/22,65_84,32167,27352,11266,,,,,,,,,729,316,580,2517,14783,,9316000
335,2020/4/22,85+,17261,13076,7316,,,,,,,,,618,243,345,2952,5137,,1457000
336,2020/4/23,00_17,2011,622,15,,,,,,,,,107,0,19,1245,577,,10117000
