date,age_group,cum_case,cum_admission,cum_death,cumFirstDose,newFirstDose,cumSecondDose,newSecondDose,cumThirdInjection,newThirdInjection,newSpring22,cumSpring22,new_case,new_death,new_admission,current_case,current_admission,,population_size
1/19/2021,65_84,307908,130323,42009,1339643,137695,145523,305,21,0,0,0,3551,607,1505,155591,82108,,9316000
1/19/2021,85+,119056,66594,34546,986705,51792,183848,213,2,0,0,0,1582,528,752,43958,28876,,1457000
1/20/2021,00_17,474281,4102,48,198,15,6,1,0,0,0,0,4114,0,53,436301,3858,,10117000
1/20/2021,18_64,2280163,106844,8494,1758144,105733,107162,1032,124,1,0,0,23997,127,1418,2010450,93262,,36139000
1/20/2021,65_84,311040,131767,42575,1494722,155079,145864,341,21,0,0,0,3132,566,1444,157055,82917,,9316000
1/20/2021,85+,120452,67355,35029,1031782,45077,184127,279,3,1,0,0,1396,483,761,44493,29118,,1457000
1/21/2021,00_17,477978,4135,48,213,15,6,0,0,0,0,0,3697,0,33,439701,3890,,10117000
1/21/2021,18_64,2302114,108114,8616,1870314,112170,108055,893,128,4,0,0,21951,122,1270,2029563,94349,,36139000
1/21/2021,65_84,313872,133077,43097,1684101,189379,146226,362,25,4,0,0,2832,522,1310,158375,83643,,9316000
1/21/2021,85+,121539,67974,35521,1074697,42915,184424,297,3,0,0,0,1087,492,619,44883,29216,,1457000
1/22/2021,00_17,481565,4178,48,226,13,6,0,0,0,0,0,3587,0,43,442989,3931,,10117000
1/22/2021,18_64,2322486,109345,8745,1995893,125579,108644,589,135,7,0,0,20372,129,1231,2047249,95393,,36139000
1/22/2021,65_84,316607,134240,43602,1955563,271462,146322,96,26,1,0,0,2735,505,1163,159752,84245,,9316000
1/22/2021,85+,122548,68550,36014,1128514,53817,184457,33,3,0,0,0,1009,493,576,45244,29271,,1457000
1/23/2021,00_17,484234,4214,48,254,28,6,0,0,0,0,0,2669,0,36,445431,3965,,10117000
1/23/2021,18_64,2337637,110361,8852,2103114,107221,109182,538,136,1,0,0,15151,107,1016,2060301,96253,,36139000
1/23/2021,65_84,318523,135365,44125,2250948,295385,146402,80,26,0,0,0,1916,523,1125,160406,84794,,9316000
1/23/2021,85+,123221,69153,36451,1170962,42448,184482,25,3,0,0,0,673,437,603,45266,29409,,1457000
1/24/2021,00_17,486279,4253,48,266,12,6,0,0,0,0,0,2045,0,39,447291,4002,,10117000
1/24/2021,18_64,2349411,111456,8948,2163238,60124,109632,450,136,0,0,0,11774,96,1095,2070139,97200,,36139000
1/24/2021,65_84,320041,136488,44601,2362025,111077,146462,60,27,1,0,0,1518,476,1123,160692,85387,,9316000
1/24/2021,85+,123753,69720,36921,1183855,12893,184504,22,3,0,0,0,532,470,567,45193,29479,,1457000
1/25/2021,00_17,489757,4295,48,278,12,6,0,0,0,0,0,3478,0,42,450479,4042,,10117000
